"date","close","volume","open","high","low"
"16:00","315.14","8,584,640","327.05","330.29","311.869"
"2018/12/20","315.3800","9049389.0000","327.0540","330.2900","311.8690"
"2018/12/19","332.9700","8256374.0000","337.6000","347.0100","329.7400"
"2018/12/18","337.0300","7084887.0000","350.5400","351.5500","333.6900"
"2018/12/17","348.4200","7664832.0000","362.0000","365.7000","343.8800"
"2018/12/14","365.7100","6327625.0000","375.0000","377.8700","364.3300"
"2018/12/13","376.7900","7348168.0000","370.1500","377.4400","366.7500"
"2018/12/12","366.6000","5019725.0000","369.4200","371.9100","365.1600"
"2018/12/11","366.7600","6298472.0000","369.9100","372.1689","360.2300"
"2018/12/10","365.1500","6575341.0000","360.0000","365.9800","353.1200"
"2018/12/07","357.9650","11484350.0000","369.0000","379.4900","357.6500"
"2018/12/06","363.0600","7828689.0000","356.0100","367.3800","350.7600"
"2018/12/04","359.7000","8430213.0000","356.0500","368.6800","352.0000"
"2018/12/03","358.4900","8295843.0000","360.0000","366.0000","352.0000"
"2018/11/30","350.4800","5621104.0000","341.8300","351.6000","338.2648"
"2018/11/29","341.1700","3076026.0000","347.0000","347.5000","339.5500"
"2018/11/28","347.8700","4114038.0000","345.9900","348.2800","342.2100"
"2018/11/27","343.9200","6347004.0000","340.0500","346.9600","335.5000"
"2018/11/26","346.0000","7973119.0000","325.0000","346.2200","325.0000"
"2018/11/23","325.8300","4202642.0000","334.3450","337.5000","325.5500"
"2018/11/21","338.1900","4677389.0000","352.0000","353.1000","337.3995"
"2018/11/20","347.4900","7991253.0000","341.7500","349.8000","333.5500"
"2018/11/19","353.4700","9698559.0000","356.3400","366.7500","352.8800"
"2018/11/16","354.3100","7194458.0000","345.1900","355.7000","345.1201"
"2018/11/15","348.4400","4600130.0000","342.3300","348.5800","339.0400"
"2018/11/14","344.0000","5032083.0000","342.7000","347.1100","337.1500"
"2018/11/13","338.7300","5422756.0000","333.1600","344.7000","332.2000"
"2018/11/12","331.2800","6916965.0000","348.3700","349.7800","330.3400"
"2018/11/09","350.5100","5093456.0000","349.0000","354.0000","345.2300"
"2018/11/08","351.4000","7080203.0000","348.5000","357.5755","348.4400"
"2018/11/07","348.1600","7366706.0000","343.3400","351.1800","340.8000"
"2018/11/06","341.0600","6751930.0000","339.0700","348.8000","336.0900"
"2018/11/05","341.4000","7820845.0000","340.5000","343.9550","330.1400"
"2018/11/02","346.4100","7799920.0000","343.7400","349.2000","340.9100"
"2018/11/01","344.2800","7980946.0000","338.2600","347.8400","334.7250"
"2018/10/31","337.3200","7600840.0000","332.5400","342.0000","329.1000"
"2018/10/30","329.9000","9109120.0000","328.3900","337.8999","322.2600"
"2018/10/29","334.8500","14455150.0000","337.4700","347.1600","326.5000"
"2018/10/26","330.9000","27380220.0000","308.2500","339.9000","306.6500"
"2018/10/25","314.8600","20771670.0000","317.2200","321.0000","301.0100"
"2018/10/24","288.5000","19350450.0000","301.0500","304.4400","285.7300"
"2018/10/23","294.1400","18956210.0000","263.8700","297.9300","262.1000"
"2018/10/22","260.9500","5594855.0000","260.6800","261.8600","252.5900"
"2018/10/19","260.0000","9344764.0000","267.3900","269.6600","253.5000"
"2018/10/18","263.9100","5401871.0000","269.2900","271.0000","263.0000"
"2018/10/17","271.7800","8636949.0000","282.4000","282.7000","265.8032"
"2018/10/16","276.5900","9501120.0000","265.7000","277.3750","262.2400"
"2018/10/15","259.5900","6189026.0000","259.0600","263.2800","254.5367"
"2018/10/12","258.7800","7189257.0000","261.0000","261.9900","252.0100"
"2018/10/11","252.2300","8128184.0000","257.5300","262.2500","249.0300"
"2018/10/10","256.8800","12781560.0000","264.6100","265.5100","247.7700"
"2018/10/09","262.8000","12037780.0000","255.2500","266.7700","253.3000"
"2018/10/08","250.5600","13371180.0000","264.5200","267.7599","249.0000"
"2018/10/05","261.9500","17900710.0000","274.6500","274.8800","260.0000"
"2018/10/04","281.8300","9638885.0000","293.9500","294.0000","277.6700"
"2018/10/03","294.8000","7982272.0000","303.3300","304.6000","291.5700"
"2018/10/02","301.0200","11699690.0000","313.9500","316.8400","299.1500"
"2018/10/01","310.7000","21714210.0000","305.7700","311.4400","301.0500"
"2018/09/28","264.7700","33597290.0000","270.2600","278.0000","260.5550"
"2018/09/27","307.5200","7337760.0000","312.9000","314.9600","306.9100"
"2018/09/26","309.5800","7835863.0000","301.9100","313.8900","301.1093"
"2018/09/25","300.9900","4472287.0000","300.0000","304.6000","296.5000"
"2018/09/24","299.6800","4834384.0000","298.4800","302.9993","293.5800"
"2018/09/21","299.1000","5038497.0000","297.7000","300.5800","295.3700"
"2018/09/20","298.3300","7332477.0000","303.5600","305.9800","293.3300"
